,init,end,length,rana_label,quality_label,label,file_wav,file_wav_source,is_BOAFAB
1089,20.056506,21.056506,1.0,PHYCUV,C,PHYCUV_C,9_FNJV_0036683_Physalaemus_cuvieri_Alto Caparao_MG_Guilherme Augusto-Alves.wav,FNJV_0036683_Physalaemus_cuvieri_Alto Caparao_MG_Guilherme Augusto-Alves.wav,False
2050,253.047982,254.047982,1.0,BOAFAB,C,BOAFAB_C,55_FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,True
78,78.985377,79.985377,1.0,BOAFAB,C,BOAFAB_C,78_FNJV_0051350_Boana_faber_Cananeia_SP_Simone Dena.wav,FNJV_0051350_Boana_faber_Cananeia_SP_Simone Dena.wav,True
987,42.815604,43.815604,1.0,PHYCUV,C,PHYCUV_C,19_FNJV_0040093_Physalaemus_cuvieri_Divino de Sao Lourenco_ES_Carolina Lambertini.wav,FNJV_0040093_Physalaemus_cuvieri_Divino de Sao Lourenco_ES_Carolina Lambertini.wav,False
2801,8.427682,9.427682,1.0,SCIFUS,C,SCIFUS_C,0_FNJV_0031363_Scinax_fuscomarginatus_Paulinia_SP_Ivan Sazima.wav,FNJV_0031363_Scinax_fuscomarginatus_Paulinia_SP_Ivan Sazima.wav,False
4122,222.838597,223.838597,1.0,BOAFAB,C,BOAFAB_C,221_FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,True
624,45.237455,46.237455,1.0,ADEMAR,C,ADEMAR_C,43_FNJV_0050747_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,FNJV_0050747_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,False
2824,18.970892,19.970892,1.0,PHYCUV,C,PHYCUV_C,16_FNJV_0031230_Physalaemus_cuvieri_Monte Verde_MG_M. Gridi- Papp.wav,FNJV_0031230_Physalaemus_cuvieri_Monte Verde_MG_M. Gridi- Papp.wav,False
2800,6.762746,7.762746,1.0,SCIFUS,C,SCIFUS_C,0_FNJV_0031366_Scinax_fuscomarginatus_Altamira_PA_Adao J. Cardoso.wav,FNJV_0031366_Scinax_fuscomarginatus_Altamira_PA_Adao J. Cardoso.wav,False
3406,37.784645,38.784645,1.0,PHYCUV,C,PHYCUV_C,7_FNJV_0031193_Physalaemus_cuvieri_Cabreuva_SP_Gilda V. Andrade.wav,FNJV_0031193_Physalaemus_cuvieri_Cabreuva_SP_Gilda V. Andrade.wav,False
262,62.723382,63.723382,1.0,ADEMAR,C,ADEMAR_C,22_FNJV_0050766_Adenomera_marmorata_PARNA do Itatiaia_RJ_Pedro P. G. Taucce.wav,FNJV_0050766_Adenomera_marmorata_PARNA do Itatiaia_RJ_Pedro P. G. Taucce.wav,False
4007,107.838597,108.838597,1.0,BOAFAB,C,BOAFAB_C,106_FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,True
3216,48.152723,49.152723,1.0,PHYCUV,C,PHYCUV_C,10_FNJV_0031198_Physalaemus_cuvieri_Taquara_RS_Adao J. Cardoso.wav,FNJV_0031198_Physalaemus_cuvieri_Taquara_RS_Adao J. Cardoso.wav,False
3449,83.482513,84.482513,1.0,PHYCUV,C,PHYCUV_C,8_FNJV_0031193_Physalaemus_cuvieri_Cabreuva_SP_Gilda V. Andrade.wav,FNJV_0031193_Physalaemus_cuvieri_Cabreuva_SP_Gilda V. Andrade.wav,False
404,42.117329,43.117329,1.0,ADEMAR,C,ADEMAR_C,40_FNJV_0050758_Adenomera_marmorata_PARNA do Itatiaia_RJ_Pedro P. G. Taucce.wav,FNJV_0050758_Adenomera_marmorata_PARNA do Itatiaia_RJ_Pedro P. G. Taucce.wav,False
398,36.117329,37.117329,1.0,ADEMAR,C,ADEMAR_C,34_FNJV_0050758_Adenomera_marmorata_PARNA do Itatiaia_RJ_Pedro P. G. Taucce.wav,FNJV_0050758_Adenomera_marmorata_PARNA do Itatiaia_RJ_Pedro P. G. Taucce.wav,False
2931,3.311981,4.311980999999999,0.9999999999999996,PHYCUV,C,PHYCUV_C,1_FNJV_0031226_Physalaemus_cuvieri_Mocamedes_GO_Adao J. Cardoso.wav,FNJV_0031226_Physalaemus_cuvieri_Mocamedes_GO_Adao J. Cardoso.wav,False
4518,58.635867,59.635867,1.0,DENCRU,C,DENCRU_C,0_1577-D.cruzi.wav,1577-D.cruzi.wav,False
2126,338.67076,339.67076,1.0,BOAFAB,C,BOAFAB_C,13_FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,True
2657,98.582596,99.582596,1.0,BOALEP,C,BOALEP_C,12_FNJV_0031594_Boana_leptolineata_Lages_SC_Adao Jose Cardoso.wav,FNJV_0031594_Boana_leptolineata_Lages_SC_Adao Jose Cardoso.wav,False
1413,104.760155,105.760155,1.0,PHYCUV,C,PHYCUV_C,8_FNJV_0036390_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,FNJV_0036390_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,False
2176,388.67076,389.67076,1.0,BOAFAB,C,BOAFAB_C,63_FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,True
1497,42.825567,43.825567,1.0,ADEMAR,C,ADEMAR_C,12_FNJV_0034600_Adenomera_marmorata_Santo Andre_SP_Paulo Roberto Manzani.mp3,FNJV_0034600_Adenomera_marmorata_Santo Andre_SP_Paulo Roberto Manzani.mp3,False
537,3.125458,4.125458,1.0,ADEMAR,C,ADEMAR_C,1_FNJV_0050750_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,FNJV_0050750_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,False
1955,144.775389,145.775389,1.0,BOAFAB,C,BOAFAB_C,2_FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,True
581,2.237455,3.237455,1.0,ADEMAR,C,ADEMAR_C,0_FNJV_0050747_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,FNJV_0050747_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,False
4048,148.838597,149.838597,1.0,BOAFAB,C,BOAFAB_C,147_FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,True
1831,20.479228,21.479228,1.0,PHYCUV,C,PHYCUV_C,19_FNJV_0032718_Physalaemus_cuvieri_Silvania_GO_Rogerio Pereira Bastos.wav,FNJV_0032718_Physalaemus_cuvieri_Silvania_GO_Rogerio Pereira Bastos.wav,False
3790,1.193163,2.193163,1.0000000000000002,BOARAN,C,BOARAN_C,0_FNJV_0013123_Boana_raniceps_Quata_SP_Fabio Maffei.wav,FNJV_0013123_Boana_raniceps_Quata_SP_Fabio Maffei.wav,False
2723,26.236402,27.236402,1.0,BOAFAB,C,BOAFAB_C,26_FNJV_0031503_Boana_faber_Obera_Not specified_Adao Jose Cardoso.wav,FNJV_0031503_Boana_faber_Obera_Not specified_Adao Jose Cardoso.wav,True
3649,50.510461,51.510461,1.0,BOAFAB,C,BOAFAB_C,50_FNJV_0030854_Boana_faber_Itabuna_BA_Jacques Vielliard.wav,FNJV_0030854_Boana_faber_Itabuna_BA_Jacques Vielliard.wav,True
2655,96.582596,97.582596,1.0,BOALEP,C,BOALEP_C,10_FNJV_0031594_Boana_leptolineata_Lages_SC_Adao Jose Cardoso.wav,FNJV_0031594_Boana_leptolineata_Lages_SC_Adao Jose Cardoso.wav,False
3833,5.282256,6.282256,1.0,BOAFAB,C,BOAFAB_C,3_FNJV_0011774_Boana_faber_Jundiai_SP_Celio Fernando Baptista Haddad.wav,FNJV_0011774_Boana_faber_Jundiai_SP_Celio Fernando Baptista Haddad.wav,True
2033,236.047982,237.047982,1.0,BOAFAB,C,BOAFAB_C,38_FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,True
3822,166.385609,167.385609,1.0,BOAFAB,C,BOAFAB_C,1_FNJV_0011775_Boana_faber_Jundiai_SP_Celio Fernando Baptista Haddad.wav,FNJV_0011775_Boana_faber_Jundiai_SP_Celio Fernando Baptista Haddad.wav,True
2899,107.431668,108.431668,1.0,PHYCUV,C,PHYCUV_C,0_FNJV_0031229_Physalaemus_cuvieri_Monte Verde_MG_M. Gridi- Papp.wav,FNJV_0031229_Physalaemus_cuvieri_Monte Verde_MG_M. Gridi- Papp.wav,False
1044,72.164368,73.164368,1.0,BOAALM,C,BOAALM_C,1_FNJV_0040068_Boana_albomarginata_Dores do Rio Preto_ES_Victor Favaro Augusto.wav,FNJV_0040068_Boana_albomarginata_Dores do Rio Preto_ES_Victor Favaro Augusto.wav,False
1383,7.43159,8.43159,1.0,PHYCUV,C,PHYCUV_C,0_FNJV_0036390_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,FNJV_0036390_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,False
676,37.575646,38.575646,1.0,ADEMAR,C,ADEMAR_C,35_FNJV_0050746_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,FNJV_0050746_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,False
4102,202.838597,203.838597,1.0,BOAFAB,C,BOAFAB_C,201_FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,True
1340,86.229238,87.229238,1.0,PHYCUV,C,PHYCUV_C,9_FNJV_0036391_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,FNJV_0036391_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,False
558,24.125458000000002,25.125458000000002,1.0,ADEMAR,C,ADEMAR_C,22_FNJV_0050750_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,FNJV_0050750_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,False
101,101.985377,102.985377,1.0,BOAFAB,C,BOAFAB_C,101_FNJV_0051350_Boana_faber_Cananeia_SP_Simone Dena.wav,FNJV_0051350_Boana_faber_Cananeia_SP_Simone Dena.wav,True
848,18.693146,19.693146,1.0,ADEMAR,C,ADEMAR_C,0_FNJV_0050733_Adenomera_marmorata_Paranapiacaba_SP_Ariovaldo A. Giaretta.wav,FNJV_0050733_Adenomera_marmorata_Paranapiacaba_SP_Ariovaldo A. Giaretta.wav,False
1349,100.231555,101.231555,1.0,PHYCUV,C,PHYCUV_C,1_FNJV_0036391_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,FNJV_0036391_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,False
4011,111.838597,112.838597,1.0,BOAFAB,C,BOAFAB_C,110_FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,True
4129,229.838597,230.838597,1.0,BOAFAB,C,BOAFAB_C,228_FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,FNJV_0011769_Boana_faber_Cabreuva_SP_Gilda Vasconcellos de Andrade.wav,True
969,24.815604,25.815604,1.0,PHYCUV,C,PHYCUV_C,1_FNJV_0040093_Physalaemus_cuvieri_Divino de Sao Lourenco_ES_Carolina Lambertini.wav,FNJV_0040093_Physalaemus_cuvieri_Divino de Sao Lourenco_ES_Carolina Lambertini.wav,False
2308,530.447079,531.447079,1.0,BOAFAB,C,BOAFAB_C,14_FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,True
2237,449.67076,450.67076,1.0,BOAFAB,C,BOAFAB_C,124_FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,True
4536,132.12489399999998,133.12489399999998,1.0,DENCRU,C,DENCRU_C,10_1577-D.cruzi.wav,1577-D.cruzi.wav,False
2726,29.236402,30.236402,1.0,BOAFAB,C,BOAFAB_C,29_FNJV_0031503_Boana_faber_Obera_Not specified_Adao Jose Cardoso.wav,FNJV_0031503_Boana_faber_Obera_Not specified_Adao Jose Cardoso.wav,True
1456,166.434869,167.434869,1.0,PHYCUV,C,PHYCUV_C,0_FNJV_0036390_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,FNJV_0036390_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,False
2084,287.047982,288.047982,1.0,BOAFAB,C,BOAFAB_C,89_FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,True
972,27.815604,28.815604,1.0,PHYCUV,C,PHYCUV_C,4_FNJV_0040093_Physalaemus_cuvieri_Divino de Sao Lourenco_ES_Carolina Lambertini.wav,FNJV_0040093_Physalaemus_cuvieri_Divino de Sao Lourenco_ES_Carolina Lambertini.wav,False
224,88.211422,89.211422,1.0,ADEMAR,C,ADEMAR_C,87_FNJV_0050784_Adenomera_marmorata_PARNA da Tijuca_RJ_Carla S. Cassini.wav,FNJV_0050784_Adenomera_marmorata_PARNA da Tijuca_RJ_Carla S. Cassini.wav,False
3680,81.510461,82.510461,1.0,BOAFAB,C,BOAFAB_C,81_FNJV_0030854_Boana_faber_Itabuna_BA_Jacques Vielliard.wav,FNJV_0030854_Boana_faber_Itabuna_BA_Jacques Vielliard.wav,True
79,79.985377,80.985377,1.0,BOAFAB,C,BOAFAB_C,79_FNJV_0051350_Boana_faber_Cananeia_SP_Simone Dena.wav,FNJV_0051350_Boana_faber_Cananeia_SP_Simone Dena.wav,True
2372,757.523972,758.523972,1.0,BOAFAB,C,BOAFAB_C,32_FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,True
3224,59.480401,60.480401,1.0,PHYCUV,C,PHYCUV_C,2_FNJV_0031198_Physalaemus_cuvieri_Taquara_RS_Adao J. Cardoso.wav,FNJV_0031198_Physalaemus_cuvieri_Taquara_RS_Adao J. Cardoso.wav,False
3554,133.057363,134.057363,1.0,BOAFAB,C,BOAFAB_C,34_FNJV_0030859_Boana_faber_Sao Paulo_SP_Ivan Sazima.wav,FNJV_0030859_Boana_faber_Sao Paulo_SP_Ivan Sazima.wav,True
485,31.040991,32.040991000000005,1.0000000000000036,ADEMAR,C,ADEMAR_C,2_FNJV_0050752_Adenomera_marmorata_Petropolis_RJ_Pedro P. G. Taucce.wav,FNJV_0050752_Adenomera_marmorata_Petropolis_RJ_Pedro P. G. Taucce.wav,False
1728,109.539853,110.539853,1.0,SCIFUS,C,SCIFUS_C,0_FNJV_0032860_Scinax_fuscomarginatus_Guapo_GO_Rogerio Pereira Bastos.wav,FNJV_0032860_Scinax_fuscomarginatus_Guapo_GO_Rogerio Pereira Bastos.wav,False
3834,6.282256,7.282256,1.0,BOAFAB,C,BOAFAB_C,4_FNJV_0011774_Boana_faber_Jundiai_SP_Celio Fernando Baptista Haddad.wav,FNJV_0011774_Boana_faber_Jundiai_SP_Celio Fernando Baptista Haddad.wav,True
1227,61.582675,62.582675,1.0,PHYCUV,C,PHYCUV_C,6_FNJV_0036633_Physalaemus_cuvieri_Alto Caparao_MG_Carlos Henrique Luz Nunes Almeida.wav,FNJV_0036633_Physalaemus_cuvieri_Alto Caparao_MG_Carlos Henrique Luz Nunes Almeida.wav,False
1327,70.012921,71.012921,1.0,PHYCUV,C,PHYCUV_C,1_FNJV_0036391_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,FNJV_0036391_Physalaemus_cuvieri_Guaramiranga_CE_Caio Brito.wav,False
2458,13.212786000000001,14.212786000000001,1.0,PHYCUV,C,PHYCUV_C,8_FNJV_0031872_Physalaemus_cuvieri_Santo Andre_SP_Werner Carlos Augusto Bokermann.wav,FNJV_0031872_Physalaemus_cuvieri_Santo Andre_SP_Werner Carlos Augusto Bokermann.wav,False
1023,88.851957,89.851957,1.0,PHYCUV,C,PHYCUV_C,25_FNJV_0040093_Physalaemus_cuvieri_Divino de Sao Lourenco_ES_Carolina Lambertini.wav,FNJV_0040093_Physalaemus_cuvieri_Divino de Sao Lourenco_ES_Carolina Lambertini.wav,False
560,26.125458000000002,27.125458000000002,1.0,ADEMAR,C,ADEMAR_C,24_FNJV_0050750_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,FNJV_0050750_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,False
2499,58.51616,59.51616,1.0,PHYCUV,C,PHYCUV_C,0_FNJV_0031872_Physalaemus_cuvieri_Santo Andre_SP_Werner Carlos Augusto Bokermann.wav,FNJV_0031872_Physalaemus_cuvieri_Santo Andre_SP_Werner Carlos Augusto Bokermann.wav,False
3535,114.057363,115.057363,1.0,BOAFAB,C,BOAFAB_C,15_FNJV_0030859_Boana_faber_Sao Paulo_SP_Ivan Sazima.wav,FNJV_0030859_Boana_faber_Sao Paulo_SP_Ivan Sazima.wav,True
1923,104.993143,105.993143,1.0,BOAFAB,C,BOAFAB_C,3_FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,True
3584,118.785679,119.785679,1.0,BOAFAB,C,BOAFAB_C,25_FNJV_0030858_Boana_faber_Sao Paulo_SP_Ivan Sazima.wav,FNJV_0030858_Boana_faber_Sao Paulo_SP_Ivan Sazima.wav,True
1680,2.81189,3.81189,1.0,PHYCUV,C,PHYCUV_C,1_FNJV_0032885_Physalaemus_cuvieri_Piracanjuba_GO_Rogerio Pereira Bastos.wav,FNJV_0032885_Physalaemus_cuvieri_Piracanjuba_GO_Rogerio Pereira Bastos.wav,False
3575,109.785679,110.785679,1.0,BOAFAB,C,BOAFAB_C,16_FNJV_0030858_Boana_faber_Sao Paulo_SP_Ivan Sazima.wav,FNJV_0030858_Boana_faber_Sao Paulo_SP_Ivan Sazima.wav,True
4345,21.387242,22.387242,1.0,DENCRU,C,DENCRU_C,0_1583-D.cruzi.wav,1583-D.cruzi.wav,False
546,12.125458,13.125458,1.0,ADEMAR,C,ADEMAR_C,10_FNJV_0050750_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,FNJV_0050750_Adenomera_marmorata_Paranapiacaba_SP_Pedro P. G. Taucce.wav,False
377,15.117329,16.117328999999998,0.9999999999999982,ADEMAR,C,ADEMAR_C,13_FNJV_0050758_Adenomera_marmorata_PARNA do Itatiaia_RJ_Pedro P. G. Taucce.wav,FNJV_0050758_Adenomera_marmorata_PARNA do Itatiaia_RJ_Pedro P. G. Taucce.wav,False
2143,355.67076,356.67076,1.0,BOAFAB,C,BOAFAB_C,30_FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,FNJV_0032140_Boana_faber_Rio de Janeiro_RJ_Bertha Lutz.wav,True
1001,66.851957,67.851957,1.0,PHYCUV,C,PHYCUV_C,3_FNJV_0040093_Physalaemus_cuvieri_Divino de Sao Lourenco_ES_Carolina Lambertini.wav,FNJV_0040093_Physalaemus_cuvieri_Divino de Sao Lourenco_ES_Carolina Lambertini.wav,False
351,38.245462,39.245462,1.0,ADEMAR,C,ADEMAR_C,37_FNJV_0050762_Adenomera_marmorata_PARNA do Itatiaia_RJ_Pedro P. G. Taucce.wav,FNJV_0050762_Adenomera_marmorata_PARNA do Itatiaia_RJ_Pedro P. G. Taucce.wav,False
3308,30.045388,31.045388,1.0,PHYCUV,C,PHYCUV_C,1_FNJV_0031195_Physalaemus_cuvieri_Jundiai_SP_Celio F. B. Haddad.wav,FNJV_0031195_Physalaemus_cuvieri_Jundiai_SP_Celio F. B. Haddad.wav,False
3439,70.784645,71.784645,1.0,PHYCUV,C,PHYCUV_C,40_FNJV_0031193_Physalaemus_cuvieri_Cabreuva_SP_Gilda V. Andrade.wav,FNJV_0031193_Physalaemus_cuvieri_Cabreuva_SP_Gilda V. Andrade.wav,False
1558,83.903844,84.903844,1.0,BOARAN,C,BOARAN_C,0_FNJV_0034119_Boana_raniceps_Aiuaba_CE_Diego Jose Santana.wav,FNJV_0034119_Boana_raniceps_Aiuaba_CE_Diego Jose Santana.wav,False
770,27.021009,28.021009,1.0,ADEMAR,C,ADEMAR_C,20_FNJV_0050739_Adenomera_marmorata_Mogi das Cruzes_SP_Carla S. Cassini.wav,FNJV_0050739_Adenomera_marmorata_Mogi das Cruzes_SP_Carla S. Cassini.wav,False
